time,timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
23/10 19:50:29,1571840429334,9.8405,0,0.41004944,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.028289795
23/10 19:50:29,1571840429335,9.985352,0,0.33343506,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,-0.08303833
23/10 19:50:29,1571840429336,9.988937,0,0.34780884,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.080963135
23/10 19:50:29,1571840429337,9.990143,0,0.3059082,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.04385376
23/10 19:50:29,1571840429338,9.948242,0,0.32266235,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.119262695
23/10 19:50:29,1571840429339,10.042816,0,0.29273987,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.100112915
23/10 19:50:29,1571840429340,10.048798,0,0.30111694,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.02230835
23/10 19:50:29,1571840429553,10.006897,0,0.30111694,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.080963135
23/10 19:50:29,1571840429554,10.009293,0,0.35858154,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.112091064
23/10 19:50:29,1571840429555,9.960205,0,0.27478027,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.07498169
23/10 19:50:29,1571840429556,9.851272999999999,0,0.34780884,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.09892273
23/10 19:50:29,1571840429557,9.833313,0,0.36097717,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.14440918
23/10 19:50:29,1571840429558,9.814163,0,0.3023224,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.27130127
23/10 19:50:29,1571840429559,9.610657000000002,0,0.4208374,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.20066833
23/10 19:50:29,1571840429775,9.823746,0,0.35020447,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.15757751
23/10 19:50:29,1571840429776,9.7603,0,0.43040466,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.30003357
23/10 19:50:29,1571840429777,9.730362,0,0.41125488,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.2964325
23/10 19:50:29,1571840429778,9.856064,0,0.36816406,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.13603210000000002
23/10 19:50:29,1571840429779,9.851272999999999,0,0.3633728,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.26771545
23/10 19:50:29,1571840429780,9.902756,0,0.43878174,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5274810999999999
23/10 19:50:29,1571840429781,9.992538,0,0.3310547,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5131073
23/10 19:50:29,1571840429994,9.876419,0,0.34182740000000006,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.48439026
23/10 19:50:29,1571840429995,9.759094000000001,0,0.41844177,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.27848816
23/10 19:50:29,1571840429996,9.687271,0,0.46511840000000004,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.21504211
23/10 19:50:29,1571840429997,9.383208999999999,0,0.46392822,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45326233
23/10 19:50:29,1571840429998,9.808182,0,0.3861084,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,1.049408
23/10 19:50:29,1571840429999,10.167313,0,0.12394714,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.7980194
23/10 19:50:30,1571840430000,9.962601,0,0.190979,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.306015
23/10 19:50:30,1571840430216,10.066757,0,0.16226196,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.2557373
23/10 19:50:30,1571840430217,10.247513,0,0.052124023,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.43888855
23/10 19:50:30,1571840430218,9.628616000000001,0,0.36695862,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.76091003
23/10 19:50:30,1571840430219,9.506515499999999,0,0.48068237,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.7285919
23/10 19:50:30,1571840430220,9.93866,0,0.41004944,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.016311646000000003
23/10 19:50:30,1571840430221,10.049988,0,0.21014404,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,-0.050720215
23/10 19:50:30,1571840430433,10.066757,0,0.15747070000000002,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.01512146
23/10 19:50:30,1571840430434,9.997314,0,0.27957153,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.109695435
23/10 19:50:30,1571840430435,9.82254,0,0.07247925,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.31320190000000003
23/10 19:50:30,1571840430436,9.993729,0,0.26759338,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3922119
23/10 19:50:30,1571840430437,9.547211,0,0.34541320000000003,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.54663086
23/10 19:50:30,1571840430438,9.681289999999999,0,0.37773132,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4329071
23/10 19:50:30,1571840430439,9.862045,0,0.31668090000000004,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.24736023
23/10 19:50:30,1571840430655,9.78064,0,0.36935425,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.13482666
23/10 19:50:30,1571840430656,9.689667,0,0.30949402,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.48318479999999997
23/10 19:50:30,1571840430657,9.714798,0,0.5010376,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.57655334
23/10 19:50:30,1571840430658,9.742339999999999,0,0.44715879999999997,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.657959
23/10 19:50:30,1571840430659,9.836914,0,0.5237732,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35031128
23/10 19:50:30,1571840430660,9.781845,0,0.18020629999999999,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4221344
23/10 19:50:30,1571840430875,9.775848,0,0.29154968,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.16116333
23/10 19:50:30,1571840430876,9.866837,0,0.41604614,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.023498535
23/10 19:50:30,1571840430877,10.071533,0,0.24485779,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.1767273
23/10 19:50:30,1571840430878,9.9374695,0,0.32626343,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.23298645
23/10 19:50:30,1571840430879,9.852463,0,0.42681885,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.29045105
23/10 19:50:30,1571840430880,9.514892999999999,0,0.53575134,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.15518188
23/10 19:50:30,1571840430881,9.461014,0,0.46511840000000004,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.107299805
23/10 19:50:31,1571840431095,10.015274,0,0.34899902,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.042648315
23/10 19:50:31,1571840431096,10.124207,0,0.27957153,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.27009583
23/10 19:50:31,1571840431097,10.047592,0,0.31309509999999996,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.30841064
23/10 19:50:31,1571840431098,9.800995,0,0.40766907,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.20664978
23/10 19:50:31,1571840431099,9.66333,0,0.5022278,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3359375
23/10 19:50:31,1571840431100,9.553192,0,0.5836334,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41854858
23/10 19:50:31,1571840431101,9.955414,0,0.35618590000000006,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.28926086
23/10 19:50:31,1571840431315,9.9219055,0,0.32026672,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.12763977
23/10 19:50:31,1571840431316,9.836914,0,0.35618590000000006,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.052230835
23/10 19:50:31,1571840431317,9.866837,0,0.35139465,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.16714478
23/10 19:50:31,1571840431318,9.651352000000001,0,0.3932953,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.22341919
23/10 19:50:31,1571840431319,9.885986,0,0.30471802,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.32876587
23/10 19:50:31,1571840431320,10.017669999999999,0,0.31188965,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5454406999999999
23/10 19:50:31,1571840431533,9.99971,0,0.24844360000000001,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.32995605
23/10 19:50:31,1571840431534,9.917114,0,0.24365234,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.21742249
23/10 19:50:31,1571840431535,9.793808,0,0.21253967,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.25813293
23/10 19:50:31,1571840431536,9.963806,0,0.21372986,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3419342
23/10 19:50:31,1571840431537,9.939865,0,0.21014404,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.32037354
23/10 19:50:31,1571840431538,9.957809,0,0.21253967,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.53585815
23/10 19:50:31,1571840431751,9.869232,0,0.24844360000000001,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.39698792
23/10 19:50:31,1571840431752,10.006897,0,0.19337463,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.33833313
23/10 19:50:31,1571840431753,10.016479499999999,0,0.12753296,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.36946106
23/10 19:50:31,1571840431754,9.881195,0,0.18380737,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4209442
23/10 19:50:31,1571840431974,9.9207,0,0.07965088,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35868835
23/10 19:50:31,1571840431975,9.763885499999999,0,0.21852112,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.49276733
23/10 19:50:31,1571840431976,9.617844,0,0.31428528,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45086670000000006
23/10 19:50:31,1571840431977,9.856064,0,0.2879486,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3024292
23/10 19:50:31,1571840431978,9.826141,0,0.27598572,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4340973
23/10 19:50:31,1571840431979,9.877609,0,0.31668090000000004,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.33354187
23/10 19:50:32,1571840432194,9.799805000000001,0,0.36695862,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.27728270000000005
23/10 19:50:32,1571840432195,9.848877,0,0.37773132,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35150146
23/10 19:50:32,1571840432196,9.724380499999999,0,0.41963196,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.81118774
23/10 19:50:32,1571840432197,9.775848,0,0.41365050000000003,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.6962738
23/10 19:50:32,1571840432198,9.884796000000001,0,0.35379028,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.39938354
23/10 19:50:32,1571840432199,9.784241,0,0.33583070000000004,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.25692750000000003
23/10 19:50:32,1571840432200,9.828522,0,0.29753113,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.34791565
23/10 19:50:32,1571840432411,9.786636,0,0.28915405,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.40777588
23/10 19:50:32,1571840432412,9.712402,0,0.27238464,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.35868835
23/10 19:50:32,1571840432413,9.985352,0,0.17182922,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5298767
23/10 19:50:32,1571840432414,9.917114,0,0.27957153,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.66993713
23/10 19:50:32,1571840432632,9.830917,0,0.36695862,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.440094
23/10 19:50:32,1571840432633,9.789017,0,0.33703613,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42811584
23/10 19:50:32,1571840432634,9.868027,0,0.32026672,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.64479065
23/10 19:50:32,1571840432635,10.01886,0,0.269989,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.519104
23/10 19:50:32,1571840432636,9.970978,0,0.22929382,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.46522522
23/10 19:50:32,1571840432637,9.839294,0,0.32626343,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.47001648
23/10 19:50:32,1571840432638,9.889586999999999,0,0.27598572,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41255188
23/10 19:50:32,1571840432853,9.893172999999999,0,0.23527527,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.3431244
23/10 19:50:32,1571840432854,9.923096000000001,0,0.26400757,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.33354187
23/10 19:50:32,1571840432855,9.846480999999999,0,0.29154968,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.46282959999999995
23/10 19:50:32,1571840432856,9.835709,0,0.35618590000000006,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41375732
23/10 19:50:32,1571840432857,9.773468,0,0.37773132,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.46043396
23/10 19:50:32,1571840432858,9.797409,0,0.28915405,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.51789856
23/10 19:50:32,1571840432859,9.775848,0,0.2735901,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.47480774
23/10 19:50:33,1571840433072,9.754303,0,0.35618590000000006,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.40538025
23/10 19:50:33,1571840433073,9.56517,0,0.43040466,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.39938354
23/10 19:50:33,1571840433074,9.76268,0,0.37654114,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5885315
23/10 19:50:33,1571840433075,9.932678,0,0.28076172,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.37664795
23/10 19:50:33,1571840433293,9.950638,0,0.23408508,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.46643066
23/10 19:50:33,1571840433294,9.925491000000001,0,0.23887634,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.54663086
23/10 19:50:33,1571840433295,9.91951,0,0.26161194,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5777588
23/10 19:50:33,1571840433296,9.992538,0,0.21372986,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5083313
23/10 19:50:33,1571840433297,9.878799,0,0.24485779,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5083313
23/10 19:50:33,1571840433298,9.956619,0,0.21852112,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5131073
23/10 19:50:33,1571840433299,9.984146,0,0.19697571,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5155029000000001
23/10 19:50:33,1571840433513,9.97937,0,0.19577026,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5502166999999999
23/10 19:50:33,1571840433514,9.967392,0,0.19458008,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.50354004
23/10 19:50:33,1571840433515,10.004501,0,0.17662048,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.40538025
23/10 19:50:33,1571840433516,9.829727,0,0.20176697,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.55381775
23/10 19:50:33,1571840433517,9.694458000000001,0,0.28196716,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.45205688
23/10 19:50:33,1571840433518,9.6058655,0,0.32984924,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4724121
23/10 19:50:33,1571840433519,9.718399,0,0.24365234,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.400589
23/10 19:50:33,1571840433731,9.751907000000001,0,0.2089386,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.42453003
23/10 19:50:33,1571840433732,9.695648,0,0.22450256,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.4724121
23/10 19:50:33,1571840433733,9.705231,0,0.22450256,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5011444
23/10 19:50:33,1571840433734,9.809372,0,0.24725342,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.41615295
23/10 19:50:33,1571840433735,9.833313,0,0.24844360000000001,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.37783813
23/10 19:50:33,1571840433736,9.883591000000001,0,0.16345215,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.5693816999999999
23/10 19:50:33,1571840433737,9.963806,0,0.16824341,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.31678772
23/10 19:50:33,1571840433953,10.017669999999999,0,0.14549255,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.20904541
23/10 19:50:33,1571840433954,9.911133,0,0.190979,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.24736023
23/10 19:50:33,1571840433955,9.82254,0,0.29753113,d345b12b-f2ea-4f40-a8b8-d2d5f9984378,1,0.53944397
