timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
1574861889539,7.000641,1,1.06781,63,1,-0.9241638
1574861997328,11.755524,1,1.177948,64,1,3.0980988
1574862010560,10.630249,1,-4.7644653,64,1,2.2888641
1574862034254,9.155426,1,-4.352661,64,1,1.9440918
1574862045080,3.5434113,1,-0.59376526,64,1,0.48362732
1574862077363,11.209656,1,-2.3702545,64,1,6.598419
1574852860676,9.7747345,0,0.21228027,22,1,0.21548462
1574852866272,9.6406555,0,-0.0574646,22,1,0.15641785
1574852871865,9.90242,0,-1.0151367,22,1,0.6208954
1574852878483,9.702896,0,-0.970459,22,1,0.5602417
1574852899476,9.682159,0,-1.2497711,22,1,0.7374115
1574852906788,9.450714,0,-1.3343658,22,1,0.83158875
1574852929512,9.573608,0,-1.380661,22,1,0.9241638
1574852940089,9.506577,0,-0.9720459,22,1,0.8571167
1574852248274,9.463486,0,0.4724579,18,1,0.5043793
1574852253088,9.664597,0,0.14205933,18,1,0.4437256
1574852257898,9.615112,0,-0.7805023,18,1,0.24420166
1574852262708,9.658203,0,-0.767746,18,1,0.38786316
1574852270890,9.546478,0,-0.72624207,18,1,0.15483093
1574852288275,9.543289,0,-0.81243896,18,1,0.5793915
1574852298439,9.522537,0,-0.90501404,18,1,0.6927185
1574852321240,9.584793,0,-1.248169,18,1,0.69911194
1574852333246,9.452316,0,-0.76135254,18,1,0.6512146
1574851995535,9.385269,0,0.96406555,16,1,0.5219269
1574852000347,9.560852,0,0.60653687,16,1,0.9161835
1574852005158,9.522537,0,-0.2649536,16,1,-0.2889099
1574852009970,9.782715,0,-0.47724915,16,1,-0.1612091
1574852014781,9.461884,0,-0.386261,16,1,-0.22346497
1574852019594,9.667786,0,-0.6161041,16,1,-0.12289429
1574852024408,9.554459,0,-0.68473816,16,1,-0.051071167
1574852029219,9.618301,0,-0.83477783,16,1,-0.012771606
1574852034032,9.648636,0,-0.9113922,16,1,-0.025543213
1574852038844,9.645447,0,-0.9433136,16,1,-0.0622406
1574852043654,9.445923,0,-0.7597656,16,1,-0.12130737
1574852048467,9.661407,0,-0.6448364,16,1,-0.19792175
1574852053282,9.707687,0,-0.6304779,16,1,-0.12449646
1574852058093,9.605545,0,-0.4580841,16,1,-0.18833923
1574852062905,10.022125,0,-0.791687,16,1,-0.3527527
1574852067716,9.888046,0,-0.79008484,16,1,-0.2665558
1574852073430,9.7795105,0,-0.82839966,16,1,-0.24580383
1574849125915,9.626282,0,0.24421692,2,1,-0.15162659
1574849130724,9.634262,0,0.07980347,2,1,-0.14524841
1574849135539,9.722061,0,-0.06544495,2,1,-0.11013794
1574849140350,9.53212,0,-0.049484253,2,1,0.30645752
1574849145160,9.541687,0,0.0909729,2,1,0.4692688
1574849149974,9.726852,0,0.118118286,2,1,0.41020203
1574849154786,9.900818,0,0.24899292,2,1,0.4564972
1574849159596,9.707687,0,-0.049484253,2,1,0.6496277
1574849164411,9.8688965,0,0.16279602,2,1,0.19952393
1574849169219,9.707687,0,0.28251648,2,1,0.11332703
1574861889740,6.550537,1,2.015915,63,1,0.9576874
1574861997422,10.170563,1,2.5570068,64,1,3.26091
1574862010657,5.5880737,1,-1.5322876,64,1,1.3934326
1574862034255,5.7652435,1,-1.5418701,64,1,1.1013336
1574862045582,6.655884,1,-1.7765045,64,1,3.059784
1574862077461,9.054871,1,-1.2976532,64,1,6.1339417
1574852860739,9.661407,0,0.341568,22,1,0.3208313
1574852866331,9.666199,0,-0.02394104,22,1,0.32720947
1574852871926,9.447525,0,-0.8395691,22,1,0.6017456
1574852878541,9.797073,0,-0.99598694,22,1,0.42297363
1574852899513,9.519348,0,-1.1396332,22,1,0.6943207
1574852907032,9.423584,0,-1.3487396,22,1,0.80604553
1574852929567,9.53212,0,-1.361496,22,1,0.8523407
1574852940272,9.7300415,0,-0.9736481,22,1,0.87628174
1574852248332,9.627884,0,0.5299225,18,1,0.5267334
1574852253147,9.514557,0,0.1931305,18,1,0.42137146
1574852257961,9.54808,0,-0.81243896,18,1,0.15322876
1574852262769,9.846558,0,-0.9082031,18,1,0.044692993
1574852271315,9.696518,0,-0.6911316,18,1,0.25219727
1574852288338,9.860916,0,-0.87786865,18,1,0.7789154
1574852298499,9.905609,0,-0.9736328,18,1,0.6623993
1574852321539,9.694916,0,-1.2098694,18,1,0.8395691
1574852333546,9.813034,0,-0.7980652,18,1,0.72943115
1574851995595,9.375702,0,0.99279785,16,1,0.8986206
1574852000405,9.722061,0,0.53630066,16,1,0.6192932
1574852005218,9.651825,0,-0.39424133,16,1,-0.23303223
1574852010033,9.655014,0,-0.3383789,16,1,-0.17079163
1574852014841,9.666183,0,-0.4405365,16,1,-0.12768555
1574852019659,9.669388,0,-0.6320648,16,1,-0.11972046
1574852024466,9.610321,0,-0.6927185,16,1,-0.051071167
1574852029279,9.694916,0,-0.82839966,16,1,-0.06544495
1574852034090,9.595963,0,-0.89224243,16,1,0.035110474
1574852038902,9.58638,0,-0.9417114,16,1,-0.059051514
1574852043718,9.707687,0,-0.7821045,16,1,-0.12449646
1574852048527,9.36293,0,-0.6639862,16,1,-0.25857544
1574852053340,9.6853485,0,-0.62249756,16,1,-0.09895325
1574852058155,9.680557,0,-0.6081238,16,1,-0.17079163
1574852062967,9.642242,0,-0.58418274,16,1,-0.17556763
1574852067775,9.635864,0,-0.71347046,16,1,-0.3208313
1574852073491,9.854538,0,-0.8507385,16,1,-0.22026062
1574849125978,9.501785,0,0.296875,2,1,-0.08778381
1574849130785,9.554459,0,0.10055542,2,1,-0.20750427
1574849135600,9.634262,0,-0.012771606,2,1,-0.118118286
1574849140415,9.696518,0,-0.1197052,2,1,0.33358765
1574849145223,9.686935,0,0.07342529,2,1,0.44532776
1574849150037,9.623093,0,0.055862427,2,1,0.48362732
1574849154848,10.09874,0,0.20111084,2,1,0.31124878
1574849159660,9.704498,0,-0.0016021729,2,1,0.6320648
1574849164469,9.36293,0,0.37190247,2,1,0.14205933
1574849169285,9.404419,0,0.3671112,2,1,0.1612091
1574861890742,14.365204,1,-4.304779,63,1,1.8578949
1574861997423,8.3797,1,4.0414124,64,1,2.0302887
1574862010955,4.4244843,1,-1.3838501,64,1,0.08140564
1574862034355,4.7644653,1,-1.6232758,64,1,-0.59376526
1574862046485,11.171341,1,-5.7269287,64,1,0.97683716
1574862077462,5.4061127,1,0.61291504,64,1,3.7349548
1574852860801,9.599152,0,0.33998108,22,1,0.38146973
1574852866391,9.76355,0,-0.0095825195,22,1,0.4293518
1574852871987,9.481033,0,-0.92097473,22,1,0.6368561
1574852878604,9.645447,0,-0.9273529,22,1,0.43414307
1574852899556,9.653427,0,-1.2210388,22,1,0.8571167
1574852907151,9.564041,0,-1.3231964,22,1,0.8491516
1574852929628,9.619904,0,-1.4062042,22,1,0.93214417
1574852940513,9.453903,0,-0.9880066,22,1,0.7821045
1574852248392,9.852936,0,0.54907227,18,1,0.57780457
1574852253205,9.297485,0,0.21548462,18,1,0.059066772
1574852258017,9.674179,0,-0.8331909,18,1,0.1484375
1574852262831,9.60553,0,-0.885849,18,1,0.075027466
1574852271551,9.653427,0,-0.7342224,18,1,0.24899292
1574852288455,9.637466,0,-0.841156,18,1,0.74220276
1574852298620,9.55925,0,-0.95448303,18,1,0.67037964
1574852321600,9.562439,0,-1.154007,18,1,0.89382935
1574852333667,9.599152,0,-0.7964783,18,1,0.6368561
1574851995654,9.568832,0,0.9704437,16,1,0.7597656
1574852000466,9.509766,0,0.6735687,16,1,0.49160767
1574852005277,9.726852,0,-0.41340637,16,1,-0.28730774
1574852010092,9.908798,0,-0.5315094,16,1,-0.25378418
1574852014901,9.836975,0,-0.4533081,16,1,0.025543213
1574852019716,9.710876,0,-0.67196655,16,1,-0.05267334
1574852024528,9.658218,0,-0.71188354,16,1,-0.0016021729
1574852029338,9.790695,0,-0.930542,16,1,-0.11013794
1574852034152,9.637451,0,-0.92575073,16,1,-0.0622406
1574852038964,9.517746,0,-0.9082031,16,1,-0.1324768
1574852043775,9.787491,0,-0.83317566,16,1,-0.17877197
1574852048589,9.841766,0,-0.7310333,16,1,-0.30804443
1574852053399,9.755569,0,-0.6480255,16,1,-0.15802002
1574852058211,9.386871,0,-0.47724915,16,1,-0.1149292
1574852063023,9.602341,0,-0.6959076,16,1,-0.06863403
1574852067836,9.75238,0,-0.79008484,16,1,-0.25857544
1574852073549,9.546478,0,-0.746994,16,1,-0.25697327
1574849126034,9.522537,0,0.34317017,2,1,-0.2761383
1574849130845,9.731628,0,0.049484253,2,1,-0.17079163
1574849135657,9.793884,0,-0.08459473,2,1,-0.11013794
1574849140469,9.626282,0,-0.12928772,2,1,0.34317017
1574849145283,9.749191,0,0.044692993,2,1,0.48202515
1574849150092,9.627884,0,0.122909546,2,1,0.37828064
1574849154907,9.859329,0,0.31443787,2,1,0.5825958
1574849159719,9.653427,0,-0.020751953,2,1,0.5730133
1574849164531,9.524139,0,0.32881165,2,1,0.09736633
1574849169341,9.726837,0,0.23303223,2,1,0.07821655
1574861891142,17.788925,1,-3.2561188,63,1,4.7213593
1574861997424,5.635956,1,5.1092224,64,1,-3.289627
1574862011861,11.271896,1,-5.3534393,64,1,1.8291626
1574862034356,5.985504,1,-2.4851837,64,1,0.03831482
1574862047185,11.836929,1,-5.104431,64,1,3.5003204
1574862077463,2.442093,1,2.2601318,64,1,-1.1587982
1574852860857,9.803452,0,0.19631958,22,1,-0.0574646
1574852866453,9.841766,0,-0.06384277,22,1,0.21707153
1574852872047,9.297485,0,-0.8539276,22,1,0.59695435
1574852878784,9.666199,0,-1.0087585,22,1,0.41659546
1574852899632,9.5401,0,-1.1364441,22,1,0.89224243
1574852907211,9.680557,0,-1.3583069,22,1,0.80444336
1574852929691,9.55925,0,-1.3918304,22,1,0.9018097
1574852942075,9.469864,0,-0.92097473,22,1,0.75975037
1574852248456,9.923157,0,0.45809937,18,1,0.5762024
1574852253265,9.956696,0,-0.0287323,18,1,-0.35594177
1574852258077,9.666199,0,-0.8794708,18,1,0.17237854
1574852262889,9.394852,0,-0.78370667,18,1,0.0
1574852271792,9.503387,0,-0.71347046,18,1,0.035110474
1574852288515,9.342178,0,-0.83158875,18,1,0.4852295
1574852298740,9.643845,0,-1.0119476,18,1,0.9624634
1574852321658,9.685333,0,-1.2417908,18,1,0.8507385
1574852334628,9.720459,0,-0.9002228,18,1,0.6560211
1574851995715,9.8242035,0,0.87786865,16,1,0.49479675
1574852000526,9.728439,0,0.47724915,16,1,0.3208313
1574852005338,9.800262,0,-0.38945007,16,1,-0.336792
1574852010150,9.784302,0,-0.47406006,16,1,-0.2059021
1574852014962,9.89444,0,-0.4740448,16,1,-0.11172485
1574852019774,9.808243,0,-0.5873718,16,1,-0.07980347
1574852024591,9.726852,0,-0.7214508,16,1,-0.0861969
1574852029398,9.557648,0,-0.791687,16,1,-0.098968506
1574852034213,9.696518,0,-0.93852234,16,1,-0.13407898
1574852039023,9.833786,0,-1.0231171,16,1,-0.1643982
1574852043834,9.677368,0,-0.7310333,16,1,-0.1197052
1574852048647,9.576813,0,-0.633667,16,1,-0.18833923
1574852053461,9.573608,0,-0.5921631,16,1,-0.14205933
1574852058273,9.670975,0,-0.62887573,16,1,-0.08299255
