timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
1574861745443,10.009293,1,1.6322937,63,1,1.2517242
1574861858163,2.6052246,1,3.3345795,64,1,11.488129
1574861878392,4.457138,1,0.89009094,64,1,6.6757812
1574861898978,10.792191,1,-2.628189,64,1,3.2137756
1574861921409,6.555649,1,0.5297699,64,1,5.7229004
1574852716643,9.830917,0,1.4299927,22,1,-0.34880066
1574852719945,10.55397,0,0.53456116,22,1,1.1607513
1574852739029,9.773468,0,0.5980072,22,1,0.29882812
1574852759679,9.911133,0,0.21612549,22,1,0.43530273
1574852790662,9.866837,0,-0.016113281,22,1,0.6938782
1574852806213,9.870422,0,-0.12504578,22,1,0.65437317
1574852102447,9.887192,0,0.819458,18,1,-0.15248108
1574852105300,9.791412,0,0.83981323,18,1,-0.33563232
1574852114973,10.066757,0,-0.036468506,18,1,-0.86834717
1574852143516,9.744736,0,-0.11785889,18,1,-0.44337463
1574852149679,9.978165,0,-0.23397827,18,1,-0.48646545
1574852187251,9.852463,0,-0.17292786,18,1,-0.49365234
1574852191871,9.823746,0,-0.23876953,18,1,-0.47808838
1574851849337,9.889587,0,0.8470001,16,1,-0.22190857
1574851851977,9.85965,0,1.0110016,16,1,-0.361969
1574851854401,9.85965,0,1.0181885,16,1,-0.22909546
1574851857253,9.857254,0,1.1785889,16,1,-0.41583252
1574851859894,10.2187805,0,0.8852997,16,1,0.60528564
1574851862533,9.931473,0,1.0397339,16,1,0.18989563
1574851865175,9.705231,0,0.9020691,16,1,-0.036361694
1574851867810,9.9374695,0,0.8470001,16,1,0.2856598
1574851875487,9.908737,0,0.6578522,16,1,0.3239746
1574851907967,9.967392,0,-0.008926392,16,1,0.3251648
1574851911927,10.082306,0,-0.09512329,16,1,0.30482483
1574851941591,10.331314,0,-0.26631165,16,1,0.74057007
1574848983098,9.004929,0,2.0632477,2,1,0.080963135
1574848985731,10.095474,0,0.4423828,2,1,-0.15846252
1574848988156,10.044006,0,0.7644043,2,1,0.71183777
1574848991125,10.114639,0,0.5872345,2,1,0.7752838
1574848994427,9.787827,0,0.3346405,2,1,0.93807983
1574848997071,9.791412,0,0.42921448,2,1,1.053009
1574848999927,10.044006,0,0.23527527,2,1,0.84350586
1574849002567,9.960205,0,0.29753113,2,1,0.7908478
1574849005420,9.82135,0,0.31907654,2,1,0.9332886
1574849008045,9.804581,0,0.2987213,2,1,0.8123932
1574849010681,9.767471,0,0.24006653,2,1,0.8914032
1574849013318,9.759094,0,0.12992859,2,1,1.0242767
1574849016814,9.890778,0,-0.005340576,2,1,1.0386353
1574849032187,9.850082,0,6.4086914E-4,2,1,1.1487732
1574849054620,9.863251,0,-0.22320557,2,1,0.9644165
1574849062309,9.869232,0,-0.32017517,2,1,1.0625763
1574851274859,9.978165,0,0.87812805,13,1,-0.18598938
1574851277934,10.006897,0,0.70095825,13,1,-0.19796753
1574851287348,9.982956,0,0.89727783,13,1,-0.34521484
1574851315476,10.115829,0,0.68418884,13,1,-0.45414734
1574861746105,4.769577,1,3.460266,63,1,1.0314636
1574861858378,14.827621,1,-2.0080872,64,1,6.9092255
1574861879048,16.996765,1,-3.2698364,64,1,3.242508
1574861899194,12.815292,1,-2.3372955,64,1,7.14505
1574861922064,7.441513,1,-0.6589508,64,1,4.018219
