timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
1574861696649,10.309235,1,0.92630005,63,1,-0.12107849
1574861778123,4.065155,1,1.8779907,63,1,-1.3552856
1574861785221,-8.42659,1,3.3743744,63,1,-1.7072449
1574861815651,9.248611,1,1.3835907,64,1,-4.4845123
1574861834962,12.289246,1,-3.7567596,64,1,2.0444794
1574861848559,17.042923,1,-4.5779724,64,1,4.3417053
1574861857255,15.273621,1,-6.699234,64,1,5.9829407
1574861892124,7.452957,1,1.5021057,64,1,2.4431152
1574861895605,7.839615,1,5.2538147,64,1,-1.0739746
1574852667813,9.357544,0,1.4997101,22,1,0.6342926
1574852671831,9.689133,0,0.8987732,22,1,2.0564423
1574852699037,9.628082,0,-0.44198608,22,1,1.996582
1574852713532,9.504791,0,-0.5712738,22,1,2.091156
1574852726326,9.491623,0,-0.4347992,22,1,2.2551575
1574852752814,9.274948,0,-0.5892334,22,1,2.2850952
1574852757470,9.197128,0,-0.26242065,22,1,2.240799
1574852066223,9.781906,0,-0.42234802,18,1,-0.38456726
1574852084931,9.842972,0,-0.70654297,18,1,0.11834717
1574852103186,9.710205,0,-0.41804504,18,1,0.42791748
1574852121956,9.789093,0,-0.37745667,18,1,0.46418762
1574852141047,9.7669525,0,-0.49513245,18,1,0.4747162
1574851812222,9.335281,0,2.8463287,16,1,-0.36003113
1574851830414,9.219757,0,2.7390747,16,1,0.74263
1574851848604,9.219162,0,2.622589,16,1,0.22428894
1574851866797,9.457382,0,2.0706177,16,1,0.15257263
1574851885589,9.552185,0,1.6741333,16,1,0.41223145
1574848932825,9.082214,0,1.2890167,2,1,0.45352173
1574848934642,9.543091,0,0.8927765,2,1,1.3968353
1574848936462,9.511963,0,0.72039795,2,1,1.7727356
1574848938279,9.695129,0,0.5384369,2,1,1.897232
1574848940140,9.400635,0,0.8029938,2,1,1.9906006
1574848944078,9.723862,0,0.59350586,2,1,2.257553
1574848977124,8.726669,0,0.72998047,2,1,3.6054993
1574848981162,9.061859,0,0.60427856,2,1,3.6701355
1574849011010,8.751816,0,0.6677246,2,1,4.237564
1574849014488,8.61174,0,0.62223816,2,1,3.8640594
1574851227655,10.067429,0,2.7147675,13,1,0.8545532
1574851229474,9.800476,0,1.2842407,13,1,-1.0344696
1574851231713,9.671188,0,1.293808,13,1,-0.24557495
1574851248083,9.567032,0,0.5276642,13,1,-0.30303955
1574851266517,9.887863,0,0.36247253,13,1,0.16383362
1574851272873,9.695129,0,0.56837463,13,1,0.45951843
1574851313595,9.7669525,0,0.34451294,13,1,0.34100342
1574851317194,9.771744,0,0.3648529,13,1,0.6139374
1574860436069,9.64006,1,1.5595703,54,1,0.009399414
1574860439546,17.513382,1,-3.5556488,54,1,2.513733
1574860475915,5.4190826,1,1.1800842,54,1,-0.39640808
1574860478793,14.962372,1,-1.9694824,54,1,0.5397186
1574860513642,9.6484375,1,-0.7747803,54,1,0.20573425
1574860516301,3.1685333,1,4.0698853,54,1,-1.7658997
1574861696670,9.711884,1,0.85687256,63,1,-0.088760376
1574861778143,-3.7160034,1,3.7706146,63,1,1.9942017
1574861785261,3.993332,1,-0.95314026,63,1,-9.240601
1574861815671,8.942154,1,0.9526367,64,1,-2.989334
1574861836083,5.6201935,1,1.257904,64,1,-4.3468475
1574861848579,14.514648,1,-2.4531097,64,1,0.8509674
1574861858176,13.626404,1,-5.237564,64,1,6.016449
1574861892142,4.5248413,1,2.6094208,64,1,1.8637085
1574861895621,6.330078,1,5.4465485,64,1,-2.1082764
1574852667833,8.675201,0,1.4494324,22,1,1.3286133
1574852671851,9.750183,0,0.8736267,22,1,2.051651
1574852699717,9.404236,0,-0.3761444,22,1,1.9223633
1574852713552,9.383881,0,-0.58802795,22,1,2.194107
1574852727605,9.729843,0,-0.35339355,22,1,2.115097
1574852752833,9.405426,0,-0.5832367,22,1,2.297058
1574852757551,9.428177,0,-0.34262085,22,1,1.8756866
1574852066423,9.8342285,0,-0.45359802,18,1,-0.3572693
1574852085092,9.744217,0,-0.66404724,18,1,0.12313843
1574852103385,9.848358,0,-0.44581604,18,1,0.4638214
1574852122157,9.762405,0,-0.38404846,18,1,0.458313
1574852141248,9.793045,0,-0.48017883,18,1,0.4659729
